Área Influenciadora,Área Influenciada,Ocorrências
,,84
Ciências Exatas e da Terra,,23
Engenharias,,22
,Engenharias,21
Engenharias,Engenharias,14
,Ciências Exatas e da Terra,11
,Ciências Sociais Aplicadas,11
Ciências Humanas,,8
Ciências Sociais Aplicadas,,8
Ciências Exatas e da Terra,Ciências Exatas e da Terra,7
Ciências Exatas e da Terra,Engenharias,4
Ciências Humanas,Ciências Sociais Aplicadas,3
Engenharias,Ciências Exatas e da Terra,2
Ciências Exatas e da Terra,Ciências Sociais Aplicadas,1
,Ciências Humanas,1
,Engenharia de Materiais e Metalúrgica,1
,Outros,1
Engenharias,Engenharia de Materiais e Metalúrgica,1
"Lingüística, Letras e Artes",,1
Ciências Humanas,Ciências Exatas e da Terra,1
Ciências Sociais Aplicadas,Ciências Sociais Aplicadas,1
Física,,1
Ciências Agrárias,Engenharias,1
Ciências Biológicas,Engenharias,1
Ciências da Saúde,Ciências Exatas e da Terra,1
